ID	NAME	TRADEDATE	OPEN	HIGH	LOW	CLOSE	VALUE	DURATION	YIELD
IMOEX	MOEX Russia Index	2022-07-12	2160,74	2160,74	2105,26	2133,77	33458868465,65	0	0
IMOEX	MOEX Russia Index	2022-07-13	2138,14	2142,51	2064,58	2073,68	28992855951,55	0	0
IMOEX	MOEX Russia Index	2022-07-14	2073,79	2105,61	2049,44	2063,3	25927908701,5	0	0
IMOEX	MOEX Russia Index	2022-07-15	2069,02	2109,52	2056,82	2109,52	24180602393,25	0	0
IMOEX	MOEX Russia Index	2022-07-18	2119,02	2127,96	2083,01	2096,42	21323881776,8	0	0
IMOEX	MOEX Russia Index	2022-07-19	2089,28	2089,28	2047,33	2071,28	23004610338,55	0	0
IMOEX	MOEX Russia Index	2022-07-20	2076,24	2098,92	2067,37	2075,24	25182119101,75	0	0
IMOEX	MOEX Russia Index	2022-07-21	2075,99	2075,99	2022,16	2053,64	27162716773,85	0	0
IMOEX	MOEX Russia Index	2022-07-22	2056,16	2099,68	2053,2	2096,75	24272476943,15	0	0
IMOEX	MOEX Russia Index	2022-07-25	2099,81	2132,75	2090,22	2128,96	28351314131,4	0	0
IMOEX	MOEX Russia Index	2022-07-26	2135,89	2192,42	2135,89	2192,42	35324587836,75	0	0
IMOEX	MOEX Russia Index	2022-07-27	2198,96	2220,82	2184,71	2196,22	35568624253,65	0	0
IMOEX	MOEX Russia Index	2022-07-28	2204,01	2213,21	2169,21	2189,16	27632179178,4	0	0
IMOEX	MOEX Russia Index	2022-07-29	2187,67	2213,81	2181,07	2213,81	25886690603,45	0	0
IMOEX	MOEX Russia Index	2022-08-01	2213,75	2220,73	2178,98	2180,09	34423779174,35	0	0
IMOEX	MOEX Russia Index	2022-08-02	2176,57	2178,81	2137,3	2137,3	27914278332,05	0	0
IMOEX	MOEX Russia Index	2022-08-03	2138,76	2156,54	2123,92	2123,92	26449883090,05	0	0
IMOEX	MOEX Russia Index	2022-08-04	2126,39	2137,83	2111,87	2116,58	22594862837,6	0	0
IMOEX	MOEX Russia Index	2022-08-05	2120,13	2124,6	2052,08	2054,29	36874314128,85	0	0
IMOEX	MOEX Russia Index	2022-08-08	2106,5	2119,41	2086,98	2088,4	27924176471,55	0	0
IMOEX	MOEX Russia Index	2022-08-09	2090,37	2136,8	2071,72	2136,8	26431314966,3	0	0
IMOEX	MOEX Russia Index	2022-08-10	2138,81	2158,87	2128,59	2151,5	27194863629,45	0	0
IMOEX	MOEX Russia Index	2022-08-11	2157,17	2174,9	2128,38	2133,11	29583573202,9	0	0
IMOEX	MOEX Russia Index	2022-08-12	2133,93	2150,9	2117,08	2147,33	21718566668,55	0	0
IMOEX	MOEX Russia Index	2022-08-15	2147,76	2165,75	2139,45	2165,12	22639885747,8	0	0
IMOEX	MOEX Russia Index	2022-08-16	2172,4	2208,33	2168,06	2208,33	27547482467,65	0	0
IMOEX	MOEX Russia Index	2022-08-17	2213,43	2225,05	2186,86	2188,56	28031808792,3	0	0
IMOEX	MOEX Russia Index	2022-08-18	2188,42	2197,92	2176,02	2194,31	19293588498,15	0	0
IMOEX	MOEX Russia Index	2022-08-19	2199,6	2199,6	2179,56	2195,16	19380590930,2	0	0
IMOEX	MOEX Russia Index	2022-08-22	2193,29	2231,22	2187,04	2228,11	25478090146,55	0	0
IMOEX	MOEX Russia Index	2022-08-23	2230,74	2261,59	2230,74	2260,08	34167923073,9	0	0
IMOEX	MOEX Russia Index	2022-08-24	2263,57	2273,65	2243,08	2248,22	25211293918,35	0	0
IMOEX	MOEX Russia Index	2022-08-25	2249,39	2266,18	2234,87	2246,34	24487294443,55	0	0
IMOEX	MOEX Russia Index	2022-08-26	2248,98	2268,89	2239,66	2268,89	18051564449,45	0	0
IMOEX	MOEX Russia Index	2022-08-29	2267,43	2296,33	2263,99	2296,33	26880489296,25	0	0
IMOEX	MOEX Russia Index	2022-08-30	2299,28	2314,53	2292,44	2306,62	50550921071,3	0	0
IMOEX	MOEX Russia Index	2022-08-31	2377,02	2423,12	2368,42	2400,08	102136552775,55	0	0
IMOEX	MOEX Russia Index	2022-09-01	2401,98	2448,5	2380,01	2445,77	56992336461,55	0	0
IMOEX	MOEX Russia Index	2022-09-02	2443,76	2474,71	2431,54	2471,45	63579147654,35	0	0
IMOEX	MOEX Russia Index	2022-09-05	2472,1	2488,44	2440,88	2488,44	45685735670,35	0	0
IMOEX	MOEX Russia Index	2022-09-06	2487,76	2492,15	2382,24	2425,33	64403078065,35	0	0
IMOEX	MOEX Russia Index	2022-09-07	2422,88	2436,64	2394,56	2401,57	39183921359,65	0	0
IMOEX	MOEX Russia Index	2022-09-08	2397,59	2407,39	2378,3	2390,27	33722794765,45	0	0
IMOEX	MOEX Russia Index	2022-09-09	2391,69	2426,81	2391,69	2426,06	30026659925,9	0	0
IMOEX	MOEX Russia Index	2022-09-12	2419,77	2465,22	2413,55	2449,65	35740888613,15	0	0
IMOEX	MOEX Russia Index	2022-09-13	2459,75	2465,55	2438,8	2446,89	28825213667,6	0	0
